,Mouse ID,Drug Regimen_x,Sex_x,Age_months_x,Weight (g)_x,Timepoint_x,Tumor Volume (mm3)_x,Metastatic Sites_x,Drug Regimen_y,Sex_y,Age_months_y,Weight (g)_y,Timepoint_y,Tumor Volume (mm3)_y,Metastatic Sites_y
50,s508,Ramicane,Male,1,17,0,45.0,0,Ramicane,Male,1.0,17.0,45.0,30.27623175,0.0
51,s508,Ramicane,Male,1,17,5,38.71187185,0,Ramicane,Male,1.0,17.0,45.0,30.27623175,0.0
52,s508,Ramicane,Male,1,17,10,34.850997899999996,0,Ramicane,Male,1.0,17.0,45.0,30.27623175,0.0
53,s508,Ramicane,Male,1,17,15,35.27690634,0,Ramicane,Male,1.0,17.0,45.0,30.27623175,0.0
54,s508,Ramicane,Male,1,17,20,35.92865083,0,Ramicane,Male,1.0,17.0,45.0,30.27623175,0.0
55,s508,Ramicane,Male,1,17,25,36.33856894,0,Ramicane,Male,1.0,17.0,45.0,30.27623175,0.0
56,s508,Ramicane,Male,1,17,30,35.47402235,0,Ramicane,Male,1.0,17.0,45.0,30.27623175,0.0
57,s508,Ramicane,Male,1,17,35,35.8461407,0,Ramicane,Male,1.0,17.0,45.0,30.27623175,0.0
58,s508,Ramicane,Male,1,17,40,32.79817119,0,Ramicane,Male,1.0,17.0,45.0,30.27623175,0.0
59,s508,Ramicane,Male,1,17,45,30.27623175,0,Ramicane,Male,1.0,17.0,45.0,30.27623175,0.0
60,f966,Capomulin,Male,16,17,0,45.0,0,,,,,,,
61,f966,Capomulin,Male,16,17,5,38.79647373,0,,,,,,,
62,f966,Capomulin,Male,16,17,10,35.6244027,0,,,,,,,
63,f966,Capomulin,Male,16,17,15,32.62300253,0,,,,,,,
64,f966,Capomulin,Male,16,17,20,30.48598484,0,,,,,,,
65,m546,Ramicane,Male,18,16,0,45.0,0,Ramicane,Male,18.0,16.0,45.0,30.56462509,1.0
66,m546,Ramicane,Male,18,16,5,42.99887638,0,Ramicane,Male,18.0,16.0,45.0,30.56462509,1.0
67,m546,Ramicane,Male,18,16,10,43.74822357,0,Ramicane,Male,18.0,16.0,45.0,30.56462509,1.0
68,m546,Ramicane,Male,18,16,15,39.89743533,0,Ramicane,Male,18.0,16.0,45.0,30.56462509,1.0
69,m546,Ramicane,Male,18,16,20,36.71229535,0,Ramicane,Male,18.0,16.0,45.0,30.56462509,1.0
70,m546,Ramicane,Male,18,16,25,37.44444543,0,Ramicane,Male,18.0,16.0,45.0,30.56462509,1.0
71,m546,Ramicane,Male,18,16,30,37.96993365,0,Ramicane,Male,18.0,16.0,45.0,30.56462509,1.0
72,m546,Ramicane,Male,18,16,35,38.62753581,1,Ramicane,Male,18.0,16.0,45.0,30.56462509,1.0
73,m546,Ramicane,Male,18,16,40,35.114575200000004,1,Ramicane,Male,18.0,16.0,45.0,30.56462509,1.0
74,m546,Ramicane,Male,18,16,45,30.56462509,1,Ramicane,Male,18.0,16.0,45.0,30.56462509,1.0
75,z578,Ramicane,Male,11,16,0,45.0,0,Ramicane,Male,11.0,16.0,45.0,30.63869575,0.0
76,z578,Ramicane,Male,11,16,5,42.18878662,0,Ramicane,Male,11.0,16.0,45.0,30.63869575,0.0
77,z578,Ramicane,Male,11,16,10,42.95211843,0,Ramicane,Male,11.0,16.0,45.0,30.63869575,0.0
78,z578,Ramicane,Male,11,16,15,38.68851607,0,Ramicane,Male,11.0,16.0,45.0,30.63869575,0.0
79,z578,Ramicane,Male,11,16,20,36.89001635,0,Ramicane,Male,11.0,16.0,45.0,30.63869575,0.0
80,z578,Ramicane,Male,11,16,25,37.41411419,0,Ramicane,Male,11.0,16.0,45.0,30.63869575,0.0
81,z578,Ramicane,Male,11,16,30,37.81593487,0,Ramicane,Male,11.0,16.0,45.0,30.63869575,0.0
82,z578,Ramicane,Male,11,16,35,38.50482444,0,Ramicane,Male,11.0,16.0,45.0,30.63869575,0.0
83,z578,Ramicane,Male,11,16,40,34.02209336,0,Ramicane,Male,11.0,16.0,45.0,30.63869575,0.0
84,z578,Ramicane,Male,11,16,45,30.63869575,0,Ramicane,Male,11.0,16.0,45.0,30.63869575,0.0
85,j913,Ramicane,Female,4,17,0,45.0,0,Ramicane,Female,4.0,17.0,45.0,31.56046955,1.0
86,j913,Ramicane,Female,4,17,5,44.01490022,0,Ramicane,Female,4.0,17.0,45.0,31.56046955,1.0
87,j913,Ramicane,Female,4,17,10,44.49716216,0,Ramicane,Female,4.0,17.0,45.0,31.56046955,1.0
88,j913,Ramicane,Female,4,17,15,45.25253427,0,Ramicane,Female,4.0,17.0,45.0,31.56046955,1.0
89,j913,Ramicane,Female,4,17,20,42.16834132,0,Ramicane,Female,4.0,17.0,45.0,31.56046955,1.0
90,j913,Ramicane,Female,4,17,25,37.86066936,0,Ramicane,Female,4.0,17.0,45.0,31.56046955,1.0
91,j913,Ramicane,Female,4,17,30,34.75724046,0,Ramicane,Female,4.0,17.0,45.0,31.56046955,1.0
92,j913,Ramicane,Female,4,17,35,35.17014843,0,Ramicane,Female,4.0,17.0,45.0,31.56046955,1.0
93,j913,Ramicane,Female,4,17,40,31.00186078,1,Ramicane,Female,4.0,17.0,45.0,31.56046955,1.0
94,j913,Ramicane,Female,4,17,45,31.56046955,1,Ramicane,Female,4.0,17.0,45.0,31.56046955,1.0
95,u364,Capomulin,Male,18,17,0,45.0,0,Capomulin,Male,18.0,17.0,45.0,31.02392294,3.0
96,u364,Capomulin,Male,18,17,5,45.76088647,1,Capomulin,Male,18.0,17.0,45.0,31.02392294,3.0
97,u364,Capomulin,Male,18,17,10,46.56841719,2,Capomulin,Male,18.0,17.0,45.0,31.02392294,3.0
98,u364,Capomulin,Male,18,17,15,47.21219992,2,Capomulin,Male,18.0,17.0,45.0,31.02392294,3.0
99,u364,Capomulin,Male,18,17,20,40.34394812,2,Capomulin,Male,18.0,17.0,45.0,31.02392294,3.0
100,u364,Capomulin,Male,18,17,25,35.50361557,2,Capomulin,Male,18.0,17.0,45.0,31.02392294,3.0
101,u364,Capomulin,Male,18,17,30,35.9783344,2,Capomulin,Male,18.0,17.0,45.0,31.02392294,3.0
102,u364,Capomulin,Male,18,17,35,35.45948978,2,Capomulin,Male,18.0,17.0,45.0,31.02392294,3.0
103,u364,Capomulin,Male,18,17,40,36.02413752,2,Capomulin,Male,18.0,17.0,45.0,31.02392294,3.0
104,u364,Capomulin,Male,18,17,45,31.02392294,3,Capomulin,Male,18.0,17.0,45.0,31.02392294,3.0
105,n364,Ramicane,Male,4,17,0,45.0,0,Ramicane,Male,4.0,17.0,45.0,31.09533505,1.0
106,n364,Ramicane,Male,4,17,5,45.52187471,0,Ramicane,Male,4.0,17.0,45.0,31.09533505,1.0
107,n364,Ramicane,Male,4,17,10,40.3751382,0,Ramicane,Male,4.0,17.0,45.0,31.09533505,1.0
108,n364,Ramicane,Male,4,17,15,36.94027399,0,Ramicane,Male,4.0,17.0,45.0,31.09533505,1.0
109,n364,Ramicane,Male,4,17,20,37.4788685,0,Ramicane,Male,4.0,17.0,45.0,31.09533505,1.0
110,n364,Ramicane,Male,4,17,25,33.20500824,0,Ramicane,Male,4.0,17.0,45.0,31.09533505,1.0
111,n364,Ramicane,Male,4,17,30,33.817758000000005,0,Ramicane,Male,4.0,17.0,45.0,31.09533505,1.0
112,n364,Ramicane,Male,4,17,35,34.48752204,1,Ramicane,Male,4.0,17.0,45.0,31.09533505,1.0
113,n364,Ramicane,Male,4,17,40,34.95473311,1,Ramicane,Male,4.0,17.0,45.0,31.09533505,1.0
114,n364,Ramicane,Male,4,17,45,31.09533505,1,Ramicane,Male,4.0,17.0,45.0,31.09533505,1.0
115,y793,Capomulin,Male,17,17,0,45.0,0,Capomulin,Male,17.0,17.0,45.0,31.896238399999998,2.0
116,y793,Capomulin,Male,17,17,5,41.01991315,0,Capomulin,Male,17.0,17.0,45.0,31.896238399999998,2.0
117,y793,Capomulin,Male,17,17,10,41.63001026,1,Capomulin,Male,17.0,17.0,45.0,31.896238399999998,2.0
118,y793,Capomulin,Male,17,17,15,42.28366512,1,Capomulin,Male,17.0,17.0,45.0,31.896238399999998,2.0
119,y793,Capomulin,Male,17,17,20,40.71642815,2,Capomulin,Male,17.0,17.0,45.0,31.896238399999998,2.0
120,y793,Capomulin,Male,17,17,25,38.9927339,2,Capomulin,Male,17.0,17.0,45.0,31.896238399999998,2.0
121,y793,Capomulin,Male,17,17,30,35.72602314,2,Capomulin,Male,17.0,17.0,45.0,31.896238399999998,2.0
122,y793,Capomulin,Male,17,17,35,36.3278696,2,Capomulin,Male,17.0,17.0,45.0,31.896238399999998,2.0
123,y793,Capomulin,Male,17,17,40,31.47541076,2,Capomulin,Male,17.0,17.0,45.0,31.896238399999998,2.0
124,y793,Capomulin,Male,17,17,45,31.896238399999998,2,Capomulin,Male,17.0,17.0,45.0,31.896238399999998,2.0
125,r554,Capomulin,Female,8,17,0,45.0,0,Capomulin,Female,8.0,17.0,45.0,32.37735684,3.0
126,r554,Capomulin,Female,8,17,5,45.78174579,1,Capomulin,Female,8.0,17.0,45.0,32.37735684,3.0
127,r554,Capomulin,Female,8,17,10,39.0054935,2,Capomulin,Female,8.0,17.0,45.0,32.37735684,3.0
128,r554,Capomulin,Female,8,17,15,35.46375763,2,Capomulin,Female,8.0,17.0,45.0,32.37735684,3.0
129,r554,Capomulin,Female,8,17,20,36.01558858,2,Capomulin,Female,8.0,17.0,45.0,32.37735684,3.0
130,r554,Capomulin,Female,8,17,25,33.89334515,3,Capomulin,Female,8.0,17.0,45.0,32.37735684,3.0
131,r554,Capomulin,Female,8,17,30,32.68065459,3,Capomulin,Female,8.0,17.0,45.0,32.37735684,3.0
132,r554,Capomulin,Female,8,17,35,33.06933705,3,Capomulin,Female,8.0,17.0,45.0,32.37735684,3.0
133,r554,Capomulin,Female,8,17,40,31.80484133,3,Capomulin,Female,8.0,17.0,45.0,32.37735684,3.0
134,r554,Capomulin,Female,8,17,45,32.37735684,3,Capomulin,Female,8.0,17.0,45.0,32.37735684,3.0
135,m957,Capomulin,Female,3,19,0,45.0,0,Capomulin,Female,3.0,19.0,45.0,33.32909778,1.0
136,m957,Capomulin,Female,3,19,5,45.62238149,1,Capomulin,Female,3.0,19.0,45.0,33.32909778,1.0
137,m957,Capomulin,Female,3,19,10,46.414517700000005,1,Capomulin,Female,3.0,19.0,45.0,33.32909778,1.0
138,m957,Capomulin,Female,3,19,15,39.80445341,1,Capomulin,Female,3.0,19.0,45.0,33.32909778,1.0
139,m957,Capomulin,Female,3,19,20,38.90934919,1,Capomulin,Female,3.0,19.0,45.0,33.32909778,1.0
140,m957,Capomulin,Female,3,19,25,37.69543154,1,Capomulin,Female,3.0,19.0,45.0,33.32909778,1.0
141,m957,Capomulin,Female,3,19,30,38.21247939,1,Capomulin,Female,3.0,19.0,45.0,33.32909778,1.0
142,m957,Capomulin,Female,3,19,35,32.56283914,1,Capomulin,Female,3.0,19.0,45.0,33.32909778,1.0
143,m957,Capomulin,Female,3,19,40,32.94761484,1,Capomulin,Female,3.0,19.0,45.0,33.32909778,1.0
144,m957,Capomulin,Female,3,19,45,33.32909778,1,Capomulin,Female,3.0,19.0,45.0,33.32909778,1.0
145,c758,Ramicane,Male,9,17,0,45.0,0,Ramicane,Male,9.0,17.0,45.0,33.39765251,1.0
146,c758,Ramicane,Male,9,17,5,45.5786783,0,Ramicane,Male,9.0,17.0,45.0,33.39765251,1.0
147,c758,Ramicane,Male,9,17,10,46.28799223,0,Ramicane,Male,9.0,17.0,45.0,33.39765251,1.0
148,c758,Ramicane,Male,9,17,15,46.94094512,1,Ramicane,Male,9.0,17.0,45.0,33.39765251,1.0
149,c758,Ramicane,Male,9,17,20,43.1263114,1,Ramicane,Male,9.0,17.0,45.0,33.39765251,1.0
150,c758,Ramicane,Male,9,17,25,43.602267299999994,1,Ramicane,Male,9.0,17.0,45.0,33.39765251,1.0
151,c758,Ramicane,Male,9,17,30,44.11827028,1,Ramicane,Male,9.0,17.0,45.0,33.39765251,1.0
152,c758,Ramicane,Male,9,17,35,37.80238546,1,Ramicane,Male,9.0,17.0,45.0,33.39765251,1.0
153,c758,Ramicane,Male,9,17,40,32.83318858,1,Ramicane,Male,9.0,17.0,45.0,33.39765251,1.0
154,c758,Ramicane,Male,9,17,45,33.39765251,1,Ramicane,Male,9.0,17.0,45.0,33.39765251,1.0
155,t565,Capomulin,Female,20,17,0,45.0,0,Capomulin,Female,20.0,17.0,45.0,34.45529799,0.0
156,t565,Capomulin,Female,20,17,5,45.8956472,0,Capomulin,Female,20.0,17.0,45.0,34.45529799,0.0
157,t565,Capomulin,Female,20,17,10,46.74900552,0,Capomulin,Female,20.0,17.0,45.0,34.45529799,0.0
158,t565,Capomulin,Female,20,17,15,44.44094861,0,Capomulin,Female,20.0,17.0,45.0,34.45529799,0.0
159,t565,Capomulin,Female,20,17,20,39.0702138,0,Capomulin,Female,20.0,17.0,45.0,34.45529799,0.0
160,t565,Capomulin,Female,20,17,25,37.34220976,0,Capomulin,Female,20.0,17.0,45.0,34.45529799,0.0
161,t565,Capomulin,Female,20,17,30,32.86891617,0,Capomulin,Female,20.0,17.0,45.0,34.45529799,0.0
162,t565,Capomulin,Female,20,17,35,33.51567063,0,Capomulin,Female,20.0,17.0,45.0,34.45529799,0.0
163,t565,Capomulin,Female,20,17,40,33.94934131,0,Capomulin,Female,20.0,17.0,45.0,34.45529799,0.0
164,t565,Capomulin,Female,20,17,45,34.45529799,0,Capomulin,Female,20.0,17.0,45.0,34.45529799,0.0
165,a644,Ramicane,Female,7,17,0,45.0,0,Ramicane,Female,7.0,17.0,45.0,32.97852192,1.0
166,a644,Ramicane,Female,7,17,5,45.55015754,0,Ramicane,Female,7.0,17.0,45.0,32.97852192,1.0
167,a644,Ramicane,Female,7,17,10,46.38071258,0,Ramicane,Female,7.0,17.0,45.0,32.97852192,1.0
168,a644,Ramicane,Female,7,17,15,46.91089166,0,Ramicane,Female,7.0,17.0,45.0,32.97852192,1.0
169,a644,Ramicane,Female,7,17,20,45.86506461,0,Ramicane,Female,7.0,17.0,45.0,32.97852192,1.0
170,a644,Ramicane,Female,7,17,25,41.48122408,0,Ramicane,Female,7.0,17.0,45.0,32.97852192,1.0
171,a644,Ramicane,Female,7,17,30,37.21112063,0,Ramicane,Female,7.0,17.0,45.0,32.97852192,1.0
172,a644,Ramicane,Female,7,17,35,35.12863083,0,Ramicane,Female,7.0,17.0,45.0,32.97852192,1.0
173,a644,Ramicane,Female,7,17,40,35.77945086,0,Ramicane,Female,7.0,17.0,45.0,32.97852192,1.0
174,a644,Ramicane,Female,7,17,45,32.97852192,1,Ramicane,Female,7.0,17.0,45.0,32.97852192,1.0
175,i177,Ramicane,Male,10,18,0,45.0,0,Ramicane,Male,10.0,18.0,45.0,33.56240217,3.0
176,i177,Ramicane,Male,10,18,5,44.06539783,0,Ramicane,Male,10.0,18.0,45.0,33.56240217,3.0
177,i177,Ramicane,Male,10,18,10,41.02092924,0,Ramicane,Male,10.0,18.0,45.0,33.56240217,3.0
178,i177,Ramicane,Male,10,18,15,40.33093479,0,Ramicane,Male,10.0,18.0,45.0,33.56240217,3.0
179,i177,Ramicane,Male,10,18,20,35.34536136,0,Ramicane,Male,10.0,18.0,45.0,33.56240217,3.0
180,i177,Ramicane,Male,10,18,25,34.0821803,1,Ramicane,Male,10.0,18.0,45.0,33.56240217,3.0
181,i177,Ramicane,Male,10,18,30,34.71147302,1,Ramicane,Male,10.0,18.0,45.0,33.56240217,3.0
182,i177,Ramicane,Male,10,18,35,35.1521662,1,Ramicane,Male,10.0,18.0,45.0,33.56240217,3.0
183,i177,Ramicane,Male,10,18,40,35.55793279,2,Ramicane,Male,10.0,18.0,45.0,33.56240217,3.0
184,i177,Ramicane,Male,10,18,45,33.56240217,3,Ramicane,Male,10.0,18.0,45.0,33.56240217,3.0
185,j989,Ramicane,Male,8,19,0,45.0,0,Ramicane,Male,8.0,19.0,45.0,36.13485243,1.0
186,j989,Ramicane,Male,8,19,5,45.62071835,1,Ramicane,Male,8.0,19.0,45.0,36.13485243,1.0
187,j989,Ramicane,Male,8,19,10,46.34383237,1,Ramicane,Male,8.0,19.0,45.0,36.13485243,1.0
188,j989,Ramicane,Male,8,19,15,41.12835439,1,Ramicane,Male,8.0,19.0,45.0,36.13485243,1.0
189,j989,Ramicane,Male,8,19,20,41.63534426,1,Ramicane,Male,8.0,19.0,45.0,36.13485243,1.0
190,j989,Ramicane,Male,8,19,25,39.93411249,1,Ramicane,Male,8.0,19.0,45.0,36.13485243,1.0
191,j989,Ramicane,Male,8,19,30,34.67178107,1,Ramicane,Male,8.0,19.0,45.0,36.13485243,1.0
192,j989,Ramicane,Male,8,19,35,35.1155898,1,Ramicane,Male,8.0,19.0,45.0,36.13485243,1.0
193,j989,Ramicane,Male,8,19,40,35.50119014,1,Ramicane,Male,8.0,19.0,45.0,36.13485243,1.0
194,j989,Ramicane,Male,8,19,45,36.13485243,1,Ramicane,Male,8.0,19.0,45.0,36.13485243,1.0
195,i738,Capomulin,Female,23,20,0,45.0,0,Capomulin,Female,23.0,20.0,45.0,37.31184577,2.0
196,i738,Capomulin,Female,23,20,5,45.59568527,0,Capomulin,Female,23.0,20.0,45.0,37.31184577,2.0
197,i738,Capomulin,Female,23,20,10,43.42101414,0,Capomulin,Female,23.0,20.0,45.0,37.31184577,2.0
198,i738,Capomulin,Female,23,20,15,37.97877782,0,Capomulin,Female,23.0,20.0,45.0,37.31184577,2.0
199,i738,Capomulin,Female,23,20,20,38.53113634,0,Capomulin,Female,23.0,20.0,45.0,37.31184577,2.0
200,i738,Capomulin,Female,23,20,25,34.97343761,0,Capomulin,Female,23.0,20.0,45.0,37.31184577,2.0
201,i738,Capomulin,Female,23,20,30,35.57877987,1,Capomulin,Female,23.0,20.0,45.0,37.31184577,2.0
202,i738,Capomulin,Female,23,20,35,36.17595269,1,Capomulin,Female,23.0,20.0,45.0,37.31184577,2.0
203,i738,Capomulin,Female,23,20,40,36.84389799,2,Capomulin,Female,23.0,20.0,45.0,37.31184577,2.0
204,i738,Capomulin,Female,23,20,45,37.31184577,2,Capomulin,Female,23.0,20.0,45.0,37.31184577,2.0
205,a520,Ramicane,Male,13,21,0,45.0,0,Ramicane,Male,13.0,21.0,45.0,38.81036633,1.0
206,a520,Ramicane,Male,13,21,5,38.72370695,0,Ramicane,Male,13.0,21.0,45.0,38.81036633,1.0
207,a520,Ramicane,Male,13,21,10,36.42938781,0,Ramicane,Male,13.0,21.0,45.0,38.81036633,1.0
208,a520,Ramicane,Male,13,21,15,35.590253999999995,0,Ramicane,Male,13.0,21.0,45.0,38.81036633,1.0
209,a520,Ramicane,Male,13,21,20,35.94774514,0,Ramicane,Male,13.0,21.0,45.0,38.81036633,1.0
210,a520,Ramicane,Male,13,21,25,36.55858129,1,Ramicane,Male,13.0,21.0,45.0,38.81036633,1.0
211,a520,Ramicane,Male,13,21,30,36.94770981,1,Ramicane,Male,13.0,21.0,45.0,38.81036633,1.0
212,a520,Ramicane,Male,13,21,35,37.62471026,1,Ramicane,Male,13.0,21.0,45.0,38.81036633,1.0
213,a520,Ramicane,Male,13,21,40,38.25972497,1,Ramicane,Male,13.0,21.0,45.0,38.81036633,1.0
214,a520,Ramicane,Male,13,21,45,38.81036633,1,Ramicane,Male,13.0,21.0,45.0,38.81036633,1.0
215,w914,Capomulin,Male,24,21,0,45.0,0,Capomulin,Male,24.0,21.0,45.0,36.04104736,2.0
216,w914,Capomulin,Male,24,21,5,45.89372032,0,Capomulin,Male,24.0,21.0,45.0,36.04104736,2.0
217,w914,Capomulin,Male,24,21,10,43.23196275,0,Capomulin,Male,24.0,21.0,45.0,36.04104736,2.0
218,w914,Capomulin,Male,24,21,15,43.68844893,0,Capomulin,Male,24.0,21.0,45.0,36.04104736,2.0
219,w914,Capomulin,Male,24,21,20,41.10809233,0,Capomulin,Male,24.0,21.0,45.0,36.04104736,2.0
220,w914,Capomulin,Male,24,21,25,40.29191661,0,Capomulin,Male,24.0,21.0,45.0,36.04104736,2.0
221,w914,Capomulin,Male,24,21,30,40.99311013,0,Capomulin,Male,24.0,21.0,45.0,36.04104736,2.0
222,w914,Capomulin,Male,24,21,35,41.66491577,1,Capomulin,Male,24.0,21.0,45.0,36.04104736,2.0
223,w914,Capomulin,Male,24,21,40,35.61130861,2,Capomulin,Male,24.0,21.0,45.0,36.04104736,2.0
224,w914,Capomulin,Male,24,21,45,36.04104736,2,Capomulin,Male,24.0,21.0,45.0,36.04104736,2.0
225,r811,Ramicane,Male,9,19,0,45.0,0,Ramicane,Male,9.0,19.0,45.0,37.22565033,1.0
226,r811,Ramicane,Male,9,19,5,45.62580225,0,Ramicane,Male,9.0,19.0,45.0,37.22565033,1.0
227,r811,Ramicane,Male,9,19,10,39.453903000000004,0,Ramicane,Male,9.0,19.0,45.0,37.22565033,1.0
228,r811,Ramicane,Male,9,19,15,40.02229235,0,Ramicane,Male,9.0,19.0,45.0,37.22565033,1.0
229,r811,Ramicane,Male,9,19,20,40.7728027,0,Ramicane,Male,9.0,19.0,45.0,37.22565033,1.0
230,r811,Ramicane,Male,9,19,25,37.61401068,0,Ramicane,Male,9.0,19.0,45.0,37.22565033,1.0
231,r811,Ramicane,Male,9,19,30,38.24206639,0,Ramicane,Male,9.0,19.0,45.0,37.22565033,1.0
232,r811,Ramicane,Male,9,19,35,36.00302016,1,Ramicane,Male,9.0,19.0,45.0,37.22565033,1.0
233,r811,Ramicane,Male,9,19,40,36.5200329,1,Ramicane,Male,9.0,19.0,45.0,37.22565033,1.0
